,StartDate,EndDate,ResponseId,Country,cond,condName,WEPTcc,BELIEFcc,POLICYcc,SHAREcc,Intervention_order,Belief1 ,Belief2,Belief3,Belief4,Policy1,Policy2,Policy3,Policy4,Policy5,Policy6,Policy7,Policy8,Policy9,Trust_sci1_1,Trust_sci2_1,Trust_gov_1,ID_hum_1,ID_GC_1,Enviro_ID_1,Enviro_ID_2,Enviro_ID_3,Enviro_ID_4,Enviro_motiv_1,Enviro_motiv_11,Enviro_motiv_12,Enviro_motiv_13,Enviro_motiv_14,Enviro_motiv_15,Enviro_motiv_16,Enviro_motiv_17,Enviro_motiv_18,Enviro_motiv_20,PlurIgnoranceItem_1,probe_CC_1,probe_GW_1,probe_GH_1,probe_CCrisis_1,probe_GE_1,probe_CE_1,probe_CP_1,probe_CEmerg_1,probe_CPoll_1,Gender,Age,Politics2_1,Politics2_9,Edu,Income,Indirect_SES,MacArthur_SES,PerceivedSciConsensu_1,Intro_Timer,condition_time_total,ide,ide_c,age_c,income_c,edu_c,ide_low,ide_high,GenderBin,gend_effects,cond_effects,belief_avg,policy_avg
777,2/11/23 21:20,2/11/23 21:29,R_2PhALFGWbham653,USA,1,Control,1,100,97.33333333,0,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,100,100,100,100,100,100,76,100,100,100,100,100,100,92,100,9,88,100,100,68,82,70,2,1,3,1,1,100,1,100,100,100,36,NA,NA,NA,NA,NA,NA,58,NA,NA,4,30,8,30,3,2,"1,3,4,5,6,7",3,87,12.648,168.762,19,-31,-9.13618,-2.205146,0.145034,-1,-61,NA,NA,-0.5,100,97.33333333
781,2/11/23 20:51,2/11/23 21:36,R_3lAjTF0m4R91zH3,USA,1,Control,8,100,91.66666667,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,100,100,100,100,100,100,100,100,100,100,100,100,25,74,93,45,90,45,100,95,86,85,0,0,0,0,0,85,0,85,100,90,47,80,NA,NA,NA,NA,NA,NA,NA,NA,2,31,38,11,2,4,"1,3,4,5,6,7",5,77,18.336,335.171,24.5,-25.5,-8.13618,-0.205146,-0.854966,4.5,-55.5,1,0.5,-0.5,100,91.66666667
789,2/11/23 21:35,2/11/23 21:52,R_2zbzhLOaPb8tMWk,USA,6,SystemJust,8,100,97.88888889,1,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,100,100,100,100,92,100,99,100,100,100,100,100,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,55,4,4,3,6,"1,2,3,4,5,6,7",8,95,18.107,112.723,4,-46,15.86382,1.794854,0.145034,-16,-76,1,0.5,0.5,100,97.88888889
790,2/11/23 21:36,2/11/23 21:55,R_1gFJgFofAzFq0qo,USA,1,Control,1,100,84.77777778,1,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,100,100,100,100,76,86,99,99,68,86,100,83,66,92,93,77,100,76,90,91,85,92,10,8,8,96,11,96,11,94,93,69,77,NA,NA,NA,NA,NA,78,NA,NA,NA,2,69,17,22,4,7,"1,2,3,5,6,7",7,97,35.592,323.823,19.5,-30.5,29.86382,2.794854,1.145034,-0.5,-60.5,1,0.5,-0.5,100,84.77777778
793,2/11/23 21:46,2/11/23 21:59,R_1ISs2aRDwlDONh5,USA,1,Control,3,99.5,91.66666667,1,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,100,99,100,99,100,25,100,100,100,100,100,100,100,61,71,40,52,50,47,51,49,46,1,48,1,1,21,82,20,47,71,82,39,41,NA,NA,NA,NA,NA,NA,NA,NA,1,63,50,51,3,5,"1,2,3,4,5,6,7",6,81,16.68,225.936,50.5,0.5,23.86382,0.794854,0.145034,30.5,-29.5,0,-0.5,-0.5,99.5,91.66666667
800,2/11/23 21:51,2/11/23 22:14,R_1LcdbibWhuS2HYT,USA,1,Control,8,100,39.66666667,NA,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,100,100,100,100,51,51,26,51,10,51,51,51,15,90,90,75,70,50,50,50,0,50,50,0,0,0,0,50,50,50,50,10,50,NA,NA,NA,NA,NA,NA,NA,NA,30,2,66,51,51,3,4,"1,3,5,6",3,90,18.2,259.905,51,1,26.86382,-0.205146,0.145034,31,-29,1,0.5,-0.5,100,39.66666667
802,2/11/23 21:51,2/11/23 22:14,R_33ru04sj9a9ocgl,USA,6,SystemJust,8,100,100,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,100,100,100,100,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,57,58,54,3,5,"2,3,4,5,6,7",5,100,5.636,126.993,56,6,17.86382,0.794854,0.145034,36,-24,1,0.5,0.5,100,100
813,2/11/23 22:26,2/11/23 22:38,R_1gMaQSlljuzCCE8,USA,1,Control,0,77,NA,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,81,71,70,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,30,45,51,20,22,0,2,0,0,3,100,0,100,0,54,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,68,NA,NA,3,3,"1,2,3,4,5,6,7",2,80,27.8,274.69,NA,NA,28.86382,-1.205146,0.145034,NA,NA,0,-0.5,-0.5,77,NA
815,2/11/23 22:26,2/11/23 22:44,R_db3qT4SgIPfmBW1,USA,6,SystemJust,8,82.5,83.77777778,1,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,78,82,84,86,80,84,85,85,81,87,85,81,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,39,23,21,3,5,"2,3,4,5,6,7",10,74,28.2,35.776,22,-28,-0.13618,0.794854,0.145034,2,-58,0,-0.5,0.5,82.5,83.77777778
821,2/11/23 22:37,2/11/23 22:51,R_2Va14j0BuB3Jfep,USA,6,SystemJust,8,78.75,15.33333333,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,93,80,85,57,13,5,12,16,32,13,11,22,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,36,14,12,3,8,"1,2,3,4,5,6,7",7,89,4.801,77.835,13,-37,-3.13618,3.794854,0.145034,-7,-67,0,-0.5,0.5,78.75,15.33333333
828,2/11/23 22:16,2/11/23 22:56,R_1gcZW51nIesDlpd,USA,1,Control,3,90,95.44444444,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,91,91,91,87,98,92,95,95,91,95,95,98,100,81,73,60,93,74,74,64,65,74,72,6,97,9,18,68,43,67,89,92,100,NA,NA,NA,97,NA,NA,NA,NA,NA,2,39,20,11,3,4,"1,2,3,4,5,6,7",5,92,40.932,206.717,15.5,-34.5,-0.13618,-0.205146,0.145034,-4.5,-64.5,1,0.5,-0.5,90,95.44444444
829,2/11/23 22:38,2/11/23 23:00,R_27VDcA0EZaCviSR,USA,1,Control,8,84.75,82.77777778,NA,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,77,90,97,75,84,100,100,100,56,100,100,100,5,NA,89,11,100,71,100,100,82,85,17,53,1,0,20,61,73,72,51,70,69,NA,NA,NA,NA,NA,NA,NA,78,NA,2,29,NA,NA,2,3,"1,2,3,4,6,7",3,50,15.546,184.943,NA,NA,-10.13618,-1.205146,-0.854966,NA,NA,1,0.5,-0.5,84.75,82.77777778
836,2/11/23 22:53,2/11/23 23:16,R_28SexNYJIdGMpTX,USA,1,Control,8,84.75,68.66666667,NA,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,78,83,93,85,58,67,70,100,47,100,72,47,57,83,81,70,100,90,92,94,92,92,45,62,78,49,50,79,84,79,52,84,82,NA,NA,NA,NA,83,NA,NA,NA,NA,1,39,76,95,3,6,"1,2,3,4,5,6,7",9,80,9.599,219.467,85.5,35.5,-0.13618,1.794854,0.145034,65.5,5.5,0,-0.5,-0.5,84.75,68.66666667
840,2/11/23 23:18,2/11/23 23:23,R_UuLL6geE6W8IOyt,USA,1,Control,0,66.25,70.88888889,NA,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,60,60,74,71,69,64,81,74,80,67,66,65,72,65,66,74,82,63,73,67,67,66,67,74,77,69,72,69,66,75,87,76,72,NA,NA,NA,NA,NA,NA,68,NA,NA,1,38,63,72,2,4,"1,2,3,5,6,7",7,60,11.43,36.774,67.5,17.5,-1.13618,-0.205146,-0.854966,47.5,-12.5,0,-0.5,-0.5,66.25,70.88888889
842,2/11/23 23:12,2/11/23 23:26,R_3sHetjGDFZBQhuF,USA,6,SystemJust,8,75.25,79.33333333,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,83,79,69,70,78,78,81,80,81,81,73,80,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,47,70,72,3,4,"1,2,3,4,6,7",5,75,10.467,42.294,71,21,7.86382,-0.205146,0.145034,51,-9,0,-0.5,0.5,75.25,79.33333333
855,2/11/23 23:21,2/11/23 23:46,R_1eDAe2Vh6qecaa4,USA,1,Control,8,58.75,53.77777778,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,64,47,75,49,68,32,69,55,49,55,61,51,44,67,82,89,84,84,83,76,90,85,68,54,73,77,81,73,63,85,77,81,78,NA,NA,NA,NA,NA,NA,NA,NA,86,1,31,29,15,3,5,"1,2,3,4,6,7",8,62,19.253,208.969,22,-28,-8.13618,0.794854,0.145034,2,-58,0,-0.5,-0.5,58.75,53.77777778
863,2/11/23 23:47,2/12/23 0:18,R_3prNchgREsVOUjs,USA,6,SystemJust,8,96,79.77777778,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,90,98,98,98,52,92,100,100,13,99,97,100,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,73,53,56,3,6,"1,2,3,4,5,6",6,72,17.773,140.758,54.5,4.5,33.86382,1.794854,0.145034,34.5,-25.5,0,-0.5,0.5,96,79.77777778
868,2/12/23 0:20,2/12/23 0:34,R_ZjAousgJiJpnpkd,USA,1,Control,0,43.25,53.55555556,NA,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,34,39,48,52,6,69,82,84,35,74,53,73,6,39,30,10,40,22,50,21,14,34,7,14,5,6,34,35,14,27,8,18,51,NA,NA,NA,NA,NA,NA,NA,40,NA,1,56,73,75,3,3,"1,2,3,5,6,7",4,20,19.743,245.794,74,24,16.86382,-1.205146,0.145034,54,-6,0,-0.5,-0.5,43.25,53.55555556
879,2/12/23 0:31,2/12/23 0:54,R_868bBrq7fgVXeKJ,USA,1,Control,1,100,100,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,100,100,100,100,100,100,100,100,100,100,100,100,100,81,95,52,100,100,100,100,100,100,9,17,12,8,28,100,5,100,100,100,53,NA,NA,NA,NA,NA,NA,100,NA,NA,2,56,23,19,3,4,"1,3,5,6,7",2,73,20.956,503.88,21,-29,16.86382,-0.205146,0.145034,1,-59,1,0.5,-0.5,100,100
886,2/12/23 1:05,2/12/23 1:33,R_1pzgkJQEAhneSMl,USA,1,Control,8,48,52.44444444,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,69,58,34,31,39,24,76,70,38,63,54,47,61,85,70,80,49,41,83,55,62,52,69,54,66,34,67,37,47,58,75,68,87,87,NA,NA,NA,NA,NA,NA,NA,NA,1,35,54,52,4,5,"2,5,6,7",8,70,10.351,96.775,53,3,-4.13618,0.794854,1.145034,33,-27,0,-0.5,-0.5,48,52.44444444
887,2/12/23 1:15,2/12/23 1:38,R_2DZT4vc4gH9iXLs,USA,6,SystemJust,1,88.75,77.77777778,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,100,77,100,78,75,75,85,75,75,75,75,80,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,55,0,0,3,5,"1,2,3,4,5,6,7",5,80,12.464,183.642,0,-50,15.86382,0.794854,0.145034,-20,-80,1,0.5,0.5,88.75,77.77777778
891,2/12/23 1:13,2/12/23 1:46,R_p5adGNsm9tKA2Bz,USA,1,Control,8,92.5,59.22222222,0,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,84,96,97,93,17,53,50,90,51,100,58,100,14,81,76,54,91,50,91,98,90,92,17,11,10,11,9,51,24,53,67,50,88,NA,NA,NA,NA,NA,83,NA,NA,NA,2,46,84,85,2,5,"1,2,3,5,6,7",3,74,19.5,299.064,84.5,34.5,6.86382,0.794854,-0.854966,64.5,4.5,1,0.5,-0.5,92.5,59.22222222
896,2/12/23 1:53,2/12/23 2:21,R_p4ObMwzBh9C6v4Z,USA,1,Control,8,67.5,63.11111111,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,43,83,67,77,15,70,63,84,56,94,60,69,57,84,81,62,96,73,51,72,50,79,57,77,53,57,79,80,60,71,76,69,61,NA,NA,NA,NA,NA,81,NA,NA,NA,1,40,77,65,4,7,"1,2,3,4,5,6,7",8,80,6.948,133.639,71,21,0.86382,2.794854,1.145034,51,-9,0,-0.5,-0.5,67.5,63.11111111
898,2/12/23 2:05,2/12/23 2:33,R_2WHV2w51hfDKniv,USA,6,SystemJust,8,99,92.88888889,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,99,100,99,98,100,76,85,100,91,97,96,99,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,71,9,15,3,5,"1,2,3,4,5,6,7",6,92,13.916,148.595,12,-38,31.86382,0.794854,0.145034,-8,-68,0,-0.5,0.5,99,92.88888889
905,2/12/23 1:58,2/12/23 2:58,R_PBSx5KI4QhqXUgp,USA,6,SystemJust,8,0,46.66666667,0,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,0,0,0,0,0,50,50,20,50,100,50,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,66,62,62,3,4,"1,3,4,5,6,7",3,20,26.741,458.374,62,12,26.86382,-0.205146,0.145034,42,-18,0,-0.5,0.5,0,46.66666667
908,2/12/23 2:19,2/12/23 3:05,R_2ZOXqOlyQOcopgD,USA,1,Control,8,100,95.44444444,1,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,100,100,100,100,75,100,100,100,100,100,100,84,100,86,84,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,NA,NA,NA,NA,NA,NA,100,NA,NA,2,36,100,100,3,7,"1,2,6",8,100,10.709,60.289,100,50,-3.13618,2.794854,0.145034,80,20,1,0.5,-0.5,100,95.44444444
910,2/12/23 2:49,2/12/23 3:18,R_2ahlF31wdHDTVK7,USA,1,Control,8,19.75,50.375,0,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,2,47,13,17,0,80,NA,39,52,100,14,100,18,15,7,1,82,22,80,82,82,58,6,38,7,7,5,94,15,85,75,85,45,NA,NA,NA,NA,72,NA,NA,NA,NA,2,54,98,97,4,5,"1,2,3,4,5,6,7",4,51,14.481,232.422,97.5,47.5,14.86382,0.794854,1.145034,77.5,17.5,1,0.5,-0.5,19.75,NA
911,2/12/23 2:59,2/12/23 3:20,R_1oClwDFzdA8Zr2V,USA,6,SystemJust,8,48.75,34.33333333,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,42,41,63,49,35,39,32,30,22,39,32,43,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,31,51,48,3,4,"2,3,4,6,7",6,48,12.267,92.053,49.5,-0.5,-8.13618,-0.205146,0.145034,29.5,-30.5,1,0.5,0.5,48.75,34.33333333
912,2/12/23 2:46,2/12/23 3:32,R_3RaTZ2wVixqkTRB,USA,6,SystemJust,0,99.75,99.44444444,1,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,99,100,100,100,100,100,100,100,100,100,100,100,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,50,7,7,4,6,"1,2,3,4,5,6,7",7,9,35.8,197.281,7,-43,10.86382,1.794854,1.145034,-13,-73,0,-0.5,0.5,99.75,99.44444444
920,2/12/23 4:15,2/12/23 4:22,R_1ot00watkIFJuXf,USA,1,Control,0,91.25,30,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,100,75,100,90,7,10,74,36,9,100,11,11,12,100,55,24,60,93,45,61,82,76,44,71,51,38,23,48,64,28,33,45,44,NA,89,NA,NA,NA,NA,NA,NA,NA,2,21,63,44,3,4,"1,2,3,4,5,6,7",7,78,33.595,82.488,53.5,3.5,-18.13618,-0.205146,0.145034,33.5,-26.5,1,0.5,-0.5,91.25,30
922,2/12/23 3:59,2/12/23 4:24,R_1CpyTxTtWDS8YfD,USA,6,SystemJust,8,41.5,42.66666667,NA,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,54,52,34,26,1,100,39,42,41,81,12,66,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,51,10,12,3,2,"2,3,4,5,6,7",3,42,10.097,98.851,11,-39,11.86382,-2.205146,0.145034,-9,-69,0,-0.5,0.5,41.5,42.66666667
928,2/12/23 4:37,2/12/23 4:40,R_216DcXTDsvZj9H7,USA,1,Control,0,79.25,81,1,BeliefinAnthrCC|SocialmediasharingPipedText|PolicySupport,75,79,72,91,71,93,85,82,70,78,77,89,84,83,89,73,86,72,66,75,81,75,76,77,72,83,73,81,87,72,76,87,86,NA,NA,NA,NA,NA,NA,90,NA,NA,2,45,71,78,4,6,"1,2,3,4,5,6,7",5,86,7.584,44.241,74.5,24.5,5.86382,1.794854,1.145034,54.5,-5.5,1,0.5,-0.5,79.25,81
934,2/12/23 4:34,2/12/23 4:52,R_1MR2JB1vgbqD08L,USA,6,SystemJust,6,17.75,39.66666667,0,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,21,25,13,12,8,59,23,73,13,79,14,83,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,79,83,3,5,"1,2,3,4,5,6,7",8,90,7.461,53.057,81,31,25.86382,0.794854,0.145034,61,1,1,0.5,0.5,17.75,39.66666667
936,2/12/23 4:26,2/12/23 4:55,R_1ddf9EWAgKznSWb,USA,1,Control,7,100,93.44444444,0,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,100,100,100,100,100,100,100,100,100,100,100,100,41,100,100,46,100,83,100,100,100,93,14,11,56,9,8,100,2,85,100,96,78,NA,NA,NA,NA,NA,NA,100,NA,NA,2,64,57,53,3,5,"1,2,3,4,5,6,7",4,96,20.701,296.402,55,5,24.86382,0.794854,0.145034,35,-25,1,0.5,-0.5,100,93.44444444
947,2/12/23 5:03,2/12/23 5:18,R_3R9QsWbvazbnNNP,USA,1,Control,8,88.5,79.22222222,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,88,90,86,90,79,71,78,87,79,79,81,81,78,91,94,96,96,94,89,96,95,97,19,9,19,93,10,91,7,91,93,91,72,NA,NA,NA,NA,93,NA,NA,NA,NA,1,30,92,85,4,8,"2,3,5,6,7",7,92,12,111.754,88.5,38.5,-9.13618,3.794854,1.145034,68.5,8.5,0,-0.5,-0.5,88.5,79.22222222
949,2/12/23 5:19,2/12/23 5:29,R_3KJdbxb01sjX2rC,USA,6,SystemJust,2,99.25,77.88888889,0,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,97,100,100,100,53,52,74,100,93,100,84,100,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,54,10,10,2,5,"1,2,4,5,6,7",4,50,8.142,87.152,10,-40,14.86382,0.794854,-0.854966,-10,-70,1,0.5,0.5,99.25,77.88888889
958,2/12/23 5:59,2/12/23 6:15,R_2YVwRwBYAqu9ORJ,USA,1,Control,2,60.75,58.22222222,1,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,49,64,65,65,53,49,62,81,52,53,51,64,59,68,60,66,72,69,64,59,45,55,18,18,14,55,42,66,50,45,48,59,72,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,52,77,79,4,6,"1,2,3,5,6,7",8,59,21.768,153.816,78,28,12.86382,1.794854,1.145034,58,-2,NA,NA,-0.5,60.75,58.22222222
962,2/12/23 6:07,2/12/23 6:37,R_sdQjwf0qaXnxTS9,USA,1,Control,0,90.5,71.44444444,0,BeliefinAnthrCC|PolicySupport|SocialmediasharingPipedText,79,95,98,90,42,91,63,81,81,88,68,86,43,95,98,34,82,92,79,77,67,77,61,77,82,13,46,90,94,87,96,94,71,NA,83,NA,NA,NA,NA,NA,NA,NA,1,64,8,10,3,4,"1,2,3,4,6,7",5,82,36.586,500.922,9,-41,24.86382,-0.205146,0.145034,-11,-71,0,-0.5,-0.5,90.5,71.44444444
965,2/12/23 6:32,2/12/23 6:40,R_31n4xwUYzUjptoh,USA,6,SystemJust,8,47.5,76,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,65,49,40,36,87,77,80,79,68,78,77,64,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,44,70,56,4,7,"1,2,5,6,7",9,81,8.082,45.51,63,13,4.86382,2.794854,1.145034,43,-17,0,-0.5,0.5,47.5,76
976,2/12/23 6:45,2/12/23 7:02,R_1B3OtUqAPNIp6Ap,USA,1,Control,8,27.25,58,0,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,29,30,29,21,51,64,64,54,23,97,61,97,11,15,31,8,99,71,100,87,53,53,51,91,66,36,47,41,52,17,49,12,52,NA,21,NA,NA,NA,NA,NA,NA,NA,2,64,53,52,3,6,"1,2,3,4,5,6,7",8,34,10.332,134.035,52.5,2.5,24.86382,1.794854,0.145034,32.5,-27.5,1,0.5,-0.5,27.25,58
981,2/12/23 6:41,2/12/23 7:12,R_2pMrhAfOdlvpM0L,USA,6,SystemJust,8,89.5,91.33333333,NA,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,89,89,89,91,88,90,92,93,92,92,87,95,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,52,7,8,3,3,"1,2,3,4,5,6,7",4,94,17.078,71.096,7.5,-42.5,12.86382,-1.205146,0.145034,-12.5,-72.5,1,0.5,0.5,89.5,91.33333333
989,2/12/23 7:00,2/12/23 7:29,R_2PtnGYCkaaZUvqY,USA,1,Control,8,30.5,49.44444444,NA,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,53,14,31,24,25,50,75,30,35,100,60,50,20,60,50,25,40,30,50,60,50,40,25,50,25,25,25,25,25,25,50,25,50,NA,NA,NA,40,NA,NA,NA,NA,NA,1,55,66,66,3,5,"1,2,3,4,5,6,7",5,50,59.932,344.28,66,16,15.86382,0.794854,0.145034,46,-14,0,-0.5,-0.5,30.5,49.44444444
996,2/13/23 5:09,2/13/23 5:18,R_2e4MVLUQPJH2VS8,USA,6,SystemJust,0,26.5,37.22222222,1,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,50,22,13,21,10,88,21,50,8,66,25,62,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,44,48,51,4,5,"1,2,3,5,6,7",6,100,10.489,59.987,49.5,-0.5,4.86382,0.794854,1.145034,29.5,-30.5,1,0.5,0.5,26.5,37.22222222
1000,2/13/23 5:23,2/13/23 5:35,R_W8qi5M3qMf2hbYl,USA,1,Control,3,91.5,74,1,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,91,89,92,94,49,87,86,92,30,100,89,77,56,96,89,90,92,92,94,85,93,89,89,92,87,95,93,89,84,93,93,93,90,NA,NA,NA,NA,NA,NA,NA,NA,87,2,37,81,50,3,8,"1,2,3,4,5,6,7",7,88,18.256,76.83,65.5,15.5,-2.13618,3.794854,0.145034,45.5,-14.5,1,0.5,-0.5,91.5,74
1013,2/13/23 6:31,2/13/23 6:53,R_2EFfUwM8ScpZe5l,USA,1,Control,8,76.25,63.88888889,NA,SocialmediasharingPipedText|BeliefinAnthrCC|PolicySupport,98,70,66,71,49,68,62,68,48,81,73,76,50,59,66,48,75,69,67,67,73,69,75,90,75,80,74,73,71,72,77,75,77,NA,NA,65,NA,NA,NA,NA,NA,NA,2,35,49,49,3,5,"1,2,3,4,5,6,7",7,58,9.039,172.967,49,-1,-4.13618,0.794854,0.145034,29,-31,1,0.5,-0.5,76.25,63.88888889
1021,2/13/23 6:48,2/13/23 7:09,R_3hy8Z0XlojbnsFw,USA,6,SystemJust,8,58,53.22222222,1,PolicySupport|SocialmediasharingPipedText|BeliefinAnthrCC,63,70,50,49,51,48,46,64,50,44,48,62,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,30,51,68,4,6,"1,4,6,7",7,65,5.148,56.249,59.5,9.5,-9.13618,1.794854,1.145034,39.5,-20.5,0,-0.5,0.5,58,53.22222222
1032,2/13/23 8:05,2/13/23 8:37,R_1puMvV2lK65BsDi,USA,6,SystemJust,8,12,26.44444444,0,SocialmediasharingPipedText|PolicySupport|BeliefinAnthrCC,8,9,19,12,12,20,35,10,10,50,10,80,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,68,91,89,3,5,"1,2,3,4,5,6,7",6,51,23.376,189.628,90,40,28.86382,0.794854,0.145034,70,10,1,0.5,0.5,12,26.44444444
1036,2/13/23 8:33,2/13/23 8:57,R_30eKhv93JtB7cY1,USA,6,SystemJust,8,0.25,14.33333333,0,PolicySupport|BeliefinAnthrCC|SocialmediasharingPipedText,1,0,0,0,0,NA,0,3,NA,79,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,51,100,100,2,3,"1,2,3,4,5,6,7",1,8,32.181,125.85,100,50,11.86382,-1.205146,-0.854966,80,20,0,-0.5,0.5,0.25,NA
